Repository,File Name,Class,Start Line,End Line,Displacement,Level
tests,test_utils.py,Simple List,70,70,38,A1
tests,test_utils.py,Simple List,83,83,38,A1
tests,test_utils.py,Simple List,126,126,14,A1
tests,test_utils.py,Simple List,843,843,30,A1
tests,test_utils.py,Simple List,195,195,41,A1
tests,test_utils.py,Simple List,372,372,54,A1
tests,test_utils.py,1 Dictionary List,649,649,12,B1
tests,test_utils.py,1 Dictionary List,651,651,35,B1
tests,test_utils.py,1 Dictionary List,652,652,36,B1
tests,test_utils.py,2 Dictionary List,655,658,12,B1
tests,test_utils.py,Simple List,660,660,13,A1
tests,test_utils.py,Simple List,158,158,13,A1
tests,test_utils.py,Simple List,158,158,31,A1
tests,test_utils.py,Simple List,159,159,32,A1
tests,test_utils.py,Simple List,160,160,29,A1
tests,test_utils.py,Simple List,853,853,23,A1
tests,test_utils.py,Simple List,887,887,23,A1
tests,test_utils.py,Simple List,855,855,23,A1
tests,test_utils.py,Simple List,889,889,23,A1
tests,test_utils.py,49 Nested Tuple,417,437,4,A2
tests,test_utils.py,4 Nested Tuple,445,456,4,A2
tests,test_utils.py,4 Nested Tuple,465,476,4,A2
tests,test_utils.py,9 Nested Tuple,484,488,4,A2
tests,test_utils.py,225 Nested Tuple,511,528,4,A2
tests,test_utils.py,4 Nested Tuple,537,540,4,A2
tests,test_utils.py,81 Nested Tuple,548,604,4,A2
tests,test_utils.py,9 Nested Tuple,612,619,4,A2
tests,test_utils.py,36 Nested Tuple,627,634,4,A2
tests,test_utils.py,25 Nested Tuple,646,661,4,A2
tests,test_utils.py,25 Nested Tuple,669,678,4,A2
tests,test_utils.py,9 Nested Tuple,686,690,4,A2
tests,test_utils.py,36 Nested Tuple,698,705,4,A2
tests,test_utils.py,100 Nested Tuple,713,724,4,A2
tests,test_utils.py,64 Nested Tuple,743,752,4,A2
tests,test_utils.py,Simple Tuple,765,768,4,A1
tests,test_utils.py,9 Nested Tuple,782,786,4,A2
tests,test_utils.py,64 Nested Tuple,794,803,4,A2
tests,test_utils.py,100 Nested Tuple,817,828,4,A2
tests,test_utils.py,16 Nested Tuple,902,907,4,A2
tests,test_utils.py,6 Nested Tuple,51,57,8,A2
tests,test_utils.py,4 Nested Tuple,101,104,8,A2
tests,test_utils.py,16 Nested Tuple,157,162,8,A2
tests,test_utils.py,25 Nested Tuple,175,181,8,A2
tests,test_utils.py,Simple Tuple,203,209,8,A1
tests,test_utils.py,Simple Tuple,216,220,8,A1
tests,test_utils.py,Simple Tuple,227,231,8,A1
tests,test_utils.py,Simple Tuple,239,245,8,A1
tests,test_utils.py,Simple Tuple,259,259,38,A1
